Date,Client,Hours,Description
2025-12-16,University of Alaska,3.5,TRX Table Dev and documentation
2025-12-16,University of Alaska,0.25,Meeting
2025-12-11,University of Alaska,0.75,FCT_COURDSE_ENROLLMENT
2025-12-11,University of Alaska,1.0,Documentation
2025-12-10,University of Alaska,2.0,Alaska Documentation
2025-12-10,University of Alaska,1.25,FCT_COURSE_ENROLLMENT Dev
2025-12-08,University of Alaska,0.25,Final AO code adjustments
2025-12-04,University of Alaska,0.75,AO CODE fix and retest
2025-11-26,University of Alaska,1.0,DIM_APPLICATION_STATUS creation and testing
2025-11-26,University of Alaska,0.5,Application tables docuentation in MartDesign
2025-11-25,University of Alaska,1.0,ODS_APPLICATION_STATUS
2025-11-24,University of Alaska,1.25,DIM_APPLICATION_DECISION creation and testing
2025-11-24,University of Alaska,1.0,ODS tables distinct list
2025-11-24,University of Alaska,1.75,BANNER Tables distinct list and removing tables from cmi
2025-11-21,University of Alaska,1.75,ODS_APPLICATION_DECISION
2025-11-21,University of Alaska,0.75,AO_Code fix and troubleshoot
2025-11-20,University of Alaska,0.0,Meeting on dev
2025-11-20,University of Alaska,0.5,Morning check on jobs and informatica ticket HAR files
2025-11-19,University of Alaska,0.5,"""Internal meeting"
2025-11-18,University of Alaska,1.0,FCT_COURSE_ENROLLMENT final testing
2025-11-17,University of Alaska,2.75,FCT_COURSE_ENROLLMENT troubleshoot
2025-11-14,University of Alaska,2.5,Adding details to fct_enrollment and fct_course_enrollment
2025-11-13,University of Alaska,1.5,Documentation FCT_COURSE_ENROLLMENT
2025-11-13,University of Alaska,1.25,m_ua_hr_active_job_emp_current
2025-11-12,University of Alaska,1.5,MartDesign documentation
2025-11-12,University of Alaska,0.25,Meeting with Amy
2025-11-10,University of Alaska,0.5,Meeting
2025-11-10,University of Alaska,3.25,Unit testing
2025-11-07,University of Alaska,2.5,Unit testing
2025-11-06,University of Alaska,1.25,Documenting insert statements for dev work
2025-11-05,University of Alaska,0.25,Morning checks on tables
2025-11-04,University of Alaska,0.5,Demo record finding
2025-11-03,University of Alaska,1.75,Meeting with Ben working on TRX
2025-11-03,University of Alaska,0.5,Ingestion troubleshooting
2025-10-31,University of Alaska,0.5,UA Raw Ingestion
2025-10-30,University of Alaska,0.75,UA Raw Ingestion
2025-10-29,University of Alaska,0.5,UA Meeting
2025-10-29,University of Alaska,3.5,Final Updated Iteration 1
2025-10-29,University of Alaska,0.75,UA Raw Ingestion
2025-10-28,University of Alaska,0.75,UA Dev Faculty SK
2025-10-28,University of Alaska,1.25,DIM Academic Org
2025-10-28,University of Alaska,0.5,Meeting
2025-10-28,University of Alaska,2.5,UA Raw Ingestion
2025-10-27,University of Alaska,0.5,Meeting on Faculty SK
2025-10-27,University of Alaska,1.0,UA Meeting
2025-10-27,University of Alaska,0.75,Rename Rules and try to delete rule occurrences
2025-10-27,University of Alaska,1.25,Faculty SK dev
2025-10-24,University of Alaska,0.75,Testing AO_CODE
2025-10-24,University of Alaska,0.25,Meeting
2025-10-24,University of Alaska,2.75,Rules Creation
2025-10-24,University of Alaska,1.0,Rerun ODS_STUDENT with filter on PIDM
2025-10-24,University of Alaska,0.5,DIM COURSE Updates
2025-10-23,University of Alaska,3.75,Dev mappings for DIM_COURSE
2025-10-22,University of Alaska,2.0,Data Profiling and Rules
2025-10-22,University of Alaska,1.75,Alaska Meeting
2025-10-20,University of Alaska,0.25,Rules Call
2025-10-20,University of Alaska,0.75,Rules Meeting
2025-10-20,University of Alaska,0.5,Freeze Call
2025-10-17,University of Alaska,1.25,Rules Dashboard
2025-10-16,University of Alaska,2.5,Pre-tracking Hours
2025-10-16,University of Alaska,0.5,Internal Meeting
2025-10-16,University of Alaska,0.5,Rules Dashboard
2025-10-13,University of Alaska,0.25,Data Profiling and Rules
2025-10-13,University of Alaska,0.5,Partial-UA meeting
2025-10-09,University of Alaska,0.5,Data Profiling Meeting
2025-10-09,University of Alaska,0.25,Freeze Meeting
2025-10-09,University of Alaska,0.25,Data Profiling and Rules
2025-10-08,University of Alaska,0.75,Dev Meeting
2025-10-08,University of Alaska,0.25,Data Profiling and Rules
2025-10-08,University of Alaska,2.25,Dev Mappings
2025-10-07,University of Alaska,0.75,fct_enrollment meeting
2025-10-07,University of Alaska,3.75,fct_enrollment
2025-10-07,University of Alaska,1.0,Data Profiling and Rules
2025-10-06,University of Alaska,5.0,Dev Mappings
2025-10-06,University of Alaska,0.25,Client Meeting Development
2025-09-15,University of Alaska,27.25,Pre-tracking Hours
2025-08-15,University of Alaska,11.75,Pre-tracking Hours
2025-12-17,University of Alaska,3.75,"finishing documentation, testing finished mappings"
2025-12-17,University of Alaska,0.25,Quick Informatica token troubleshoot meeting
2025-12-17,University of Alaska,0.5,UA Dev Touch Base
2025-12-18,University of Alaska,0.75,Raw TRX Mappings
2025-12-22,University of Alaska,1.25,TRX
2025-12-29,University of Alaska,0.75,Responding to client and looking over client dev
2025-12-29,University of Alaska,2.75,"Raw TRX documentation,  develupment, and testing"
